Gene.Symbol	moduleColor	GS.diagnosis	p.GS.diagnosis
25841	25841	lightcyan	-0.441988505711599	0.0209828880432556
30	30	blue	-0.804249305137885	4.31349116458081e-07
10449	10449	royalblue	-0.215612267226329	0.280093990534079
31	31	black	0.612509002096561	0.000683633099818701
32	32	lightyellow	0.40636788479315	0.0354335575272961
80724	80724	magenta	0.108449534548167	0.59026798907276
84129	84129	royalblue	0.171266312189479	0.393020445773027
27034	27034	blue	-0.807024397935598	3.66709149926032e-07
28976	28976	lightyellow	0.369374523471612	0.057935331336308
33	33	blue	-0.583213783000227	0.00140855488754233
34	34	royalblue	0.153133541932604	0.445721083437192
35	35	blue	-0.793517264429493	7.89608546416465e-07
36	36	brown	-0.540452591553747	0.003610664546725
37	37	blue	-0.835432538543793	5.90235944568945e-08
176	176	turquoise	0.666090906924364	0.000149047463845483
9744	9744	brown	-0.109081694400689	0.588090482791079
23527	23527	blue	-0.835903890654879	5.70989097817257e-08
116983	116983	blue	-0.519954726481786	0.00543710262911892
38	38	magenta	0.0253531229791804	0.900108050339278
39	39	greenyellow	-0.117985835615564	0.557797619571949
64746	64746	midnightblue	0.157516043236106	0.432649880561989
79777	79777	brown	-0.593434297995736	0.00110313217408516
91452	91452	blue	-0.393277282430821	0.0424132701621076
84320	84320	turquoise	0.438249930251287	0.0222244965669205
414149	414149	turquoise	0.734058003292465	1.31265385305719e-05
40	40	yellow	0.323456200566976	0.0998084287834616
41	41	grey60	0.830572584168326	8.25867563823804e-08
9311	9311	purple	0.134505266236259	0.503566844503039
55515	55515	yellow	0.0737052125489775	0.714843580725552
84680	84680	turquoise	-0.186896568577007	0.350587125821509
390110	390110	turquoise	0.574532891367923	0.0017228407237805
65057	65057	red	0.546333896618204	0.00319531002228655
1636	1636	turquoise	0.601990639122338	0.000893350838003719
59272	59272	darkgrey	-0.0391586966640871	0.846238173121651
125981	125981	turquoise	0.432081223035131	0.0244037369523959
340485	340485	blue	-0.356396515898538	0.06804498848938
55331	55331	brown	-0.0398709386166259	0.843475107561731
43	43	grey	-0.0830369763098289	0.680509136503247
22985	22985	blue	-0.842511330404297	3.54760588905176e-08
47	47	darkred	0.0284435606459089	0.888002919231794
130013	130013	royalblue	-0.438597331730353	0.0221066546017606
57001	57001	darkred	-0.528283569985573	0.00461792720599572
48	48	lightyellow	0.448397079026947	0.0189867084840504
50	50	blue	-0.852253944486975	1.68805848897138e-08
641371	641371	blue	-0.716741941062945	2.60137452078689e-05
26027	26027	blue	-0.355509083516073	0.068783012359432
134526	134526	blue	-0.859813343277311	9.13930240576710e-09
10965	10965	blue	-0.810050669367782	3.0629621189945e-07
122970	122970	purple	-0.278691206731485	0.159229212539996
641372	641372	grey60	0.810465430124118	2.98758000038998e-07
11332	11332	blue	-0.709218055282589	3.44888183051079e-05
10005	10005	blue	-0.632339810799134	0.000402043421771354
23597	23597	brown	-0.186287868701349	0.352186626271584
51	51	blue	-0.905834937194108	8.18112354145113e-11
8309	8309	royalblue	0.214461781296361	0.282730288373337
55289	55289	turquoise	0.449442964122469	0.0186762284077404
52	52	blue	-0.819903790649718	1.66624071587454e-07
53	53	red	0.579894553617591	0.00152231528886297
54	54	darkgreen	-0.321783869594659	0.101674670919028
51205	51205	green	0.217318760427822	0.276212585794798
92370	92370	blue	-0.611561720189344	0.000700575368745816
55	55	turquoise	0.636529405644968	0.000357710515902388
93650	93650	blue	-0.420451413063933	0.0289837738638025
49	49	blue	-0.775790129449813	1.9923519941156e-06
84519	84519	turquoise	0.646007343132696	0.000272877304614227
93953	93953	royalblue	-0.174748528565306	0.383323175960903
56	56	turquoise	0.776412091453033	1.93142352078983e-06
23205	23205	turquoise	0.595731269801704	0.00104300427648276
81616	81616	turquoise	0.74920954950934	6.90416169138749e-06
80221	80221	brown	-0.280373566470782	0.15662219340168
197322	197322	turquoise	0.187116726871313	0.350009675006596
2180	2180	purple	-0.0604202500727234	0.764657344885826
2181	2181	pink	0.086992840339814	0.666135194276571
2182	2182	blue	-0.542961689149468	0.00342815664389357
51703	51703	blue	-0.539363830814528	0.00369239957136316
23305	23305	turquoise	0.461722577647137	0.0153323533903813
348158	348158	blue	-0.854334302339587	1.43067626194348e-08
6296	6296	brown	-0.536829903620982	0.00388875308933011
54988	54988	blue	-0.883676528641942	1.01471857324752e-09
84532	84532	turquoise	0.603111366722064	0.000868625063514305
55902	55902	blue	-0.51830323684512	0.0056133497447769
79611	79611	blue	-0.874286287617367	2.54022669392143e-09
59	59	red	0.711389062616973	3.18219694706534e-05
60	60	purple	-0.141217489472417	0.482305653280837
71	71	yellow	-0.0689533606345278	0.73254251452786
72	72	blue	-0.437421060832387	0.022507727670806
86	86	brown	-0.28185154098223	0.154357078907634
51412	51412	turquoise	0.0401567251585912	0.842366935841634
10881	10881	turquoise	0.630878435370312	0.000418600610968713
81569	81569	blue	-0.677603722361559	0.000103231278430805
87	87	brown	-0.0259410454675146	0.897803416394712
88	88	turquoise	0.545349920215607	0.00326181237877897
89	89	turquoise	0.0519073292508768	0.797079328048363
81	81	red	0.367691581868983	0.0591758647748123
55860	55860	brown	-0.730380954936391	1.52436403278282e-05
10121	10121	red	0.769015907401127	2.77710423832712e-06
10120	10120	greenyellow	0.0727745260566259	0.718299065426269
10097	10097	brown	-0.504195200874597	0.00732583331314946
10096	10096	purple	-0.101674950985468	0.613818545231166
57180	57180	blue	-0.513079611435609	0.00620296875463967
79913	79913	purple	-0.320835879387634	0.102744093000699
64431	64431	cyan	0.774305604255213	2.14481983225126e-06
93973	93973	blue	-0.861977841682044	7.61667337806301e-09
139741	139741	tan	-0.588475364324657	0.00124326920402209
140625	140625	turquoise	0.529121141071277	0.00454168381649499
90	90	greenyellow	-0.288035574245187	0.145132740441496
91	91	brown	-0.465047079190235	0.0145175181734388
92	92	brown	-0.463911932190782	0.014791616689042
94	94	greenyellow	0.134229228397733	0.504451026164215
95	95	brown	-0.867349383895861	4.78040394051153e-09
91703	91703	green	0.441498126325586	0.0211424401676191
97	97	grey60	0.64891467716393	0.00025067462378732
98	98	blue	-0.576283981566464	0.00165498495368811
100	100	grey60	0.795550410265445	7.06075668282937e-07
161823	161823	turquoise	0.202610641349847	0.310801999387779
102	102	blue	-0.649531401687377	0.000246174405007143
4185	4185	turquoise	0.642912895323872	0.000298388480804194
8038	8038	yellow	-0.13703689085088	0.495493725444107
8751	8751	blue	-0.149497600654376	0.456723784675611
6868	6868	blue	-0.548990321188565	0.00302153026686074
8749	8749	turquoise	0.661445588971027	0.000172101450429635
8728	8728	turquoise	0.509317165128755	0.00665933355618632
145241	145241	turquoise	0.601988786722705	0.000893392206924752
53616	53616	green	0.237640726838863	0.232642457904479
8745	8745	yellow	0.23219125015438	0.243847442069823
10863	10863	yellow	0.257735149946147	0.194315312990324
11085	11085	turquoise	0.793319258700122	7.98201510354646e-07
