logFC	AveExpr	t	P.Value	adj.P.Val	B	entrez_id
56664	-4.89923501363752	7.53649721215801	-12.9959102830781	0.000000000000151312519888619	0.0000000000739485900769949	20.9286562122939	56664
5527	-2.88335112737439	9.73609366123595	-12.9664260988118	0.000000000000160025711561862	0.0000000000760344387851569	20.8744073599144	5527
677679	-4.50589860867933	10.4112773173062	-12.8903598490864	0.000000000000184971077575448	0.0000000000838553503331333	20.7339893422779	677679
26774	-3.68642579148593	6.83339515618177	-12.8866352050663	0.000000000000186290751982407	0.0000000000838553503331333	20.7270965382264	26774
692053	-3.99341487474181	6.92829186120701	-12.7668401656466	0.000000000000234333848510144	0.000000000102776422532462	20.5045477426532	692053
4782	-5.00631917444187	9.75851626820184	-12.7411634368715	0.000000000000246195001650683	0.000000000105279137580873	20.4566298214665	4782
693197	-3.65885638734069	10.9228756504108	-12.7125282484564	0.000000000000260153989663301	0.000000000108407100325624	20.4031000576801	693197
594838	-4.20753936070592	10.6397543526451	-12.7006417442614	0.000000000000266185221495246	0.000000000108407100325624	20.3808516277009	594838
9300	-2.88467802237196	6.08151990762791	-12.645443221682	0.000000000000296136855877164	0.000000000117800486506486	20.2773174623696	9300
391059	-2.55764486457924	8.73393349699778	-12.6011601154976	0.000000000000322661402422407	0.000000000125434620191711	20.1939982107043	391059
1645	-3.08905764448976	6.16442128096801	-12.5290813234124	0.000000000000371179051216912	0.000000000141089281579228	20.057886267525	1645
677780	-4.79236114303372	9.99640041168739	-12.3811281880798	0.00000000000049571647875092	0.000000000184331094979011	19.7765625626165	677780
8367	-4.03720814309195	8.46160443559938	-12.3377604046434	0.000000000000539836383945723	0.000000000196465986114715	19.6936058420602	8367
26469	-4.14307060356124	10.7738406208181	-12.2202940213722	0.000000000000680791810351285	0.000000000242602998251223	19.4677719324046	26469
5681	-3.66033095533575	6.97000153668554	-12.1833073439308	0.000000000000732616453032604	0.000000000251287418530359	19.3963182945825	5681
26791	-3.42518621749959	6.7323482601558	-12.1819842686815	0.000000000000734543754838817	0.000000000251287418530359	19.3937592044087	26791
56127	2.83133004657329	11.5828863334346	12.1684023617411	0.000000000000754632428403574	0.000000000253097797800846	19.3674768077876	56127
692063	-3.68404782573963	7.31329838884287	-12.0538345220803	0.000000000000948282783301554	0.000000000311930327084098	19.1448820352031	692063
26785	-4.45881616416612	8.03245227578755	-12.0269407140514	0.00000000000100073284881964	0.000000000322972365642641	19.0923973343183	26785
677829	-3.87142172732995	10.2707526435884	-12.0166993860543	0.00000000000102148239332017	0.000000000323564006254472	19.0723875146627	677829
6079	-3.30823094480402	6.73582844452335	-11.9910177230212	0.00000000000107548326665969	0.000000000334475295931164	19.0221532432681	6079
65125	-2.81060229495132	8.99076497268596	-11.9709854642485	0.00000000000111963777159214	0.000000000341989358626492	18.9829131079594	65125
388403	-2.61468397693386	10.283592466744	-11.9614224148367	0.00000000000114136952197131	0.000000000342103863834076	18.9641631318538	388403
126129	3.88576543900478	7.70215758552086	11.9457266861441	0.00000000000117798232414666	0.000000000342103863834076	18.9333645701845	126129
677837	-4.71177918306205	10.1214441244183	-11.9448707470359	0.00000000000118001332746042	0.000000000342103863834076	18.9316841509809	677837
6655	-2.38620310693423	9.45773668076843	-11.9133940114267	0.00000000000125725855321127	0.000000000358423459211312	18.8698247522094	6655
26775	-4.29113029482104	7.59525719679865	-11.8798418501831	0.00000000000134534055947593	0.000000000377246725735012	18.803751774174	26775
677798	-3.83658090125746	9.49784061689093	-11.8707639044129	0.00000000000137024576692105	0.000000000378033126502977	18.7858509655889	677798
595097	-4.06327824271667	10.5112308063734	-11.8469064156159	0.00000000000143798350013467	0.000000000387869849976956	18.7387576452398	595097
26800	-4.81597991350175	7.98038599225775	-11.8358766211003	0.00000000000147045463311391	0.000000000387869849976956	18.7169615794055	26800
6085	-3.41136979160891	11.9507590619012	-11.8347116074127	0.00000000000147392810572944	0.000000000387869849976956	18.7146585040574	6085
692199	-4.53338429751889	10.0930691550496	-11.8080688173622	0.00000000000155570806600668	0.000000000403187673773398	18.661943237043	692199
114599	-2.80549676685489	12.4786019902129	-11.7845933728531	0.00000000000163162889741893	0.000000000416552422244041	18.6154216427634	114599
619571	-3.7945768418085	7.60133485758132	-11.7520263312046	0.00000000000174330995964115	0.000000000438519365583263	18.5507693284816	619571
677805	-2.79953561828534	10.3163270160849	-11.6110805484599	0.00000000000232504619348538	0.000000000571986448913508	18.2694317391296	677805
677792	-3.10086589917399	6.94473798258051	-11.6077928198315	0.00000000000234078055679308	0.000000000571986448913508	18.262839405823	677792
116938	-4.17981442482678	11.3085040038821	-11.591350145064	0.00000000000242113006833033	0.000000000583287743926625	18.2298492005468	116938
642	-3.53099121744854	7.74557525251837	-11.5501250224895	0.00000000000263528621152662	0.000000000626063481224483	18.1469859781092	642
9936	-2.99705910227294	7.75878476624979	-11.5276283292829	0.00000000000276026977404296	0.000000000646772801164449	18.1016765801424	9936
2512	-2.69233750821875	12.8391092374675	-11.5064523999369	0.00000000000288348345170652	0.000000000666513303262702	18.0589686810498	2512
654320	-5.18699079314619	8.78740069241315	-11.4827479055749	0.00000000000302813555820095	0.000000000690616782973697	18.0110936550116	654320
619563	-3.86644410814423	7.20855978681341	-11.4674019522058	0.00000000000312573898592946	0.000000000703496912556887	17.9800619832722	619563
100132247	-3.26444640301711	11.0213762285799	-11.406764063062	0.00000000000354414133956301	0.000000000787305683288639	17.8571504510676	100132247
170691	-4.00395312331788	6.88462984338589	-11.344357933035	0.00000000000403513711453621	0.000000000884884876206946	17.7301647311046	170691
5827	-2.32659611498328	12.2874122835895	-11.2866575209586	0.00000000000455130702685802	0.000000000976882748588547	17.612310511826	5827
5465	-2.97647348277175	10.874445749069	-11.2823726604969	0.00000000000459224665821196	0.000000000976882748588547	17.6035415497269	5465
