logFC	AveExpr	t	P.Value	adj.P.Val	B	entrez_id	names	condition	id	up-sig	down-sig	not-changed	total	description	source	NES_score	setSize	NES_score_condition
955	-2.88836152802161	7.56645574782557	-10.963423987009	8.99937586852967e-12	1.63759919394894e-09	16.9441468570144	955	955	2										
25793	-2.63725587574086	7.78284564435495	-10.9496412573321	9.26743683292272e-12	1.6686263897594e-09	16.9153540331101	25793	25793	2										
406928	-2.58966538866165	6.30090055137423	-10.9437212265427	9.3850803807536e-12	1.67220624909157e-09	16.9029791514965	406928	406928	2										
26788	-5.15771291825299	9.90872944935412	-10.9245505275914	9.77667635639599e-12	1.70701251344444e-09	16.8628743475765	26788	26788	2										
5346	-2.37522381741204	6.01605897215705	-10.9243902996926	9.78001907731979e-12	1.70701251344444e-09	16.8625389503092	5346	5346	2										
9747	2.08913224032805	10.4517779910545	10.9009976639521	1.0280859286114e-11	1.77630402110081e-09	16.8135361475466	9747	9747	1										
26820	-2.54264343815837	6.05279151626386	-10.8827929481544	1.06888025562665e-11	1.82831967724939e-09	16.7753512765594	26820	26820	2										
162966	2.4307247583589	10.5442733646141	10.8738152584779	1.08960642059639e-11	1.84531859646547e-09	16.7565043049312	162966	162966	1										
123876	-2.90185568977429	11.0526566805234	-10.8604035075418	1.12134092563958e-11	1.88044475814363e-09	16.7283291157225	123876	123876	2										
3481	-3.95223183838881	8.60303984274827	-10.818026559679	1.22799309315588e-11	2.02435979135777e-09	16.6391487269465	3481	3481	2										
4051	-2.42413703493925	9.3276782117276	-10.8169517427571	1.23082968898689e-11	2.02435979135777e-09	16.6368837464699	4051	4051	2										
9526	-2.2478966143467	7.33560073608463	-10.7983533859032	1.2809931245508e-11	2.08679879956585e-09	16.5976669773026	9526	9526	2										
677819	-3.1758454834842	10.2585263369876	-10.7857081111681	1.31629460405801e-11	2.12407728324643e-09	16.5709768987697	677819	677819	2										
595098	-3.23843941048128	6.79355546601441	-10.779102879135	1.3351298622484e-11	2.13433610222046e-09	16.5570269993739	595098	595098	2										
91380	-2.14339062385171	5.58847402727552	-10.7444032651477	1.43872352838042e-11	2.27864499564324e-09	16.4836485532308	91380	91380	2										
26789	-3.85859883737202	8.15314480610169	-10.7237753875475	1.50418368174915e-11	2.36046439232286e-09	16.439951785114	26789	26789	2										
692111	-3.5564367094854	12.7249963603232	-10.7165433940316	1.52785097534465e-11	2.37580826666093e-09	16.4246186556003	692111	692111	2										
26812	-3.27289331034067	6.80862997456614	-10.6529472813581	1.75317392465247e-11	2.70162522352978e-09	16.2894847692246	26812	26812	2										
26046	-2.49825045809695	8.6566661423835	-10.61060862583	1.92185407051465e-11	2.93511731037081e-09	16.199222434775	26046	26046	2										
26790	-2.14731542424639	5.81230457202002	-10.5414768318654	2.23394167103453e-11	3.36727271093399e-09	16.0513262050547	26790	26790	2										
284254	3.44295144486405	7.55953024395176	10.5360672163101	2.26045877015046e-11	3.36727271093399e-09	16.0397263080872	284254	284254	1										
